a,11.4,13.68,0,10,21,11,16,15,13,14,18,22,6,1,3,2,3,3,0,4,2,6,3
a,8.96,9.6,0,23,15,10,11,27,21,14,12,12,27,2,4,2,2,2,1,2,2,3,2
a,12.24,11.52,0,21,17,16,16,20,17,13,14,24,22,2,3,3,2,4,1,3,2,2,3
a,12.24,10.08,0,12,21,12,26,8,17,12,14,23,13,0,4,2,2,2,1,2,3,4,3
a,36.720000000000006,44.88,0,9,14,13,12,11,7,12,16,19,5,1,3,3,2,3,0,2,2,4,1
a,10.88,7.48,0,3,19,9,26,6,12,12,21,12,6,0,3,3,3,2,1,2,2,3,1
a,9.6,7.68,0,8,6,9,20,9,7,7,11,21,6,0,2,1,3,3,1,1,2,2,2
a,7.280000000000001,5.6000000000000005,0,7,15,14,24,11,12,13,16,25,5,0,3,1,3,5,1,2,2,3,1
a,8.4,6.6,1,10,13,13,27,8,10,12,18,25,6,0,2,3,1,2,1,3,2,6,2
a,5.279999999999999,5.279999999999999,0,12,12,18,22,27,11,20,25,29,6,0,2,3,4,6,1,2,5,8,1
a,5.279999999999999,5.279999999999999,0,15,18,21,21,21,14,20,24,30,8,1,2,3,3,5,2,3,3,5,3
a,6.24,6.24,1,13,14,10,16,26,8,13,29,22,7,2,1,3,2,7,1,2,5,4,2
a,9.6,7.68,0,8,14,21,29,7,11,18,19,24,7,0,3,3,3,5,1,2,3,4,1
a,5.720000000000001,6.24,0,14,19,17,23,10,12,18,19,30,4,1,3,4,2,1,1,2,5,3,1
a,4.4,4.4,0,17,14,22,16,22,5,21,23,19,23,1,3,3,3,3,1,3,5,5,4
a,6.800000000000001,10.88,1,8,8,6,13,20,0,23,12,19,1,1,2,1,3,3,0,1,2,4,1
a,3.64,6.24,1,11,4,4,6,13,2,11,16,9,0,1,0,0,2,2,0,2,4,1,0
a,13.68,12.92,1,8,1,4,9,15,9,9,8,6,5,1,1,0,1,5,1,1,2,2,1
a,9.6,5.12,1,0,11,16,14,0,8,6,11,8,8,0,2,3,3,0,1,0,2,2,1
a,10.88,8.84,1,6,12,15,25,13,16,11,8,23,13,0,2,2,5,3,1,2,1,3,3
a,12.24,10.08,1,5,6,8,19,13,8,12,15,10,6,0,1,1,2,4,1,0,2,4,1
a,3.6,3.6,1,6,5,6,5,6,6,0,0,7,15,1,1,1,1,1,1,0,0,0,2
a,4.16,6.24,1,5,9,13,10,12,2,23,6,10,8,1,1,2,2,2,0,2,2,0,1
a,4.68,6.24,1,10,6,18,16,14,15,9,7,18,15,1,2,4,4,2,0,2,1,1,5
a,7.48,10.88,1,11,9,12,13,14,9,5,17,27,1,1,2,1,2,2,0,2,3,4,1
b,20.88,32.48,1,5,5,18,9,20,0,29,10,18,0,1,1,1,2,2,0,1,2,2,0
b,19.040000000000003,30.240000000000002,0,5,5,16,10,15,0,27,12,12,0,1,1,1,2,2,0,1,3,2,0
b,15.120000000000001,28.080000000000002,0,6,5,13,11,15,0,18,20,12,0,1,1,1,2,2,0,0,4,2,0
b,16.8,30.240000000000002,0,5,12,15,10,11,0,17,22,14,0,1,1,3,2,2,0,0,4,2,0
b,13.44,22.08,0,5,12,16,10,10,0,27,13,13,0,1,1,4,2,2,0,2,4,2,0
b,11.200000000000001,30.240000000000002,1,5,2,5,10,12,0,15,13,6,0,1,1,0,4,2,0,0,3,2,0
b,7.36,20.240000000000002,0,5,5,11,14,14,0,23,14,12,0,1,1,1,4,2,0,0,3,2,0
b,6.44,20.240000000000002,1,5,4,5,12,11,0,14,15,8,0,1,1,0,3,2,0,0,3,2,0
b,6.72,22.08,0,5,5,9,11,10,0,22,11,7,0,1,1,1,3,2,0,0,2,2,0
b,7.04,18.48,0,5,5,6,16,13,0,23,14,8,0,1,1,1,3,3,0,0,3,2,0
b,14.96,18.48,0,6,6,8,11,14,2,5,12,18,8,1,1,1,2,3,0,1,1,3,3
b,14.399999999999999,22.08,0,5,8,9,16,14,0,8,19,22,3,1,1,1,3,2,0,1,2,4,1
b,10.4,15.200000000000001,1,5,6,12,11,14,1,8,16,20,3,1,1,1,2,2,0,1,3,4,1
b,12.32,18.48,1,8,9,11,11,15,2,9,19,21,3,1,1,0,2,2,0,1,3,4,1
b,7.92,12.24,1,6,8,10,13,14,0,9,17,22,3,1,2,2,2,3,0,1,2,4,1
b,7.28,26.0,1,4,5,7,10,11,0,3,26,8,0,1,1,1,2,2,0,0,6,3,0
b,4.48,9.6,1,4,0,8,4,7,0,6,6,11,0,1,0,1,1,1,0,0,2,1,0
b,7.92,12.24,1,3,2,9,9,8,0,18,9,3,1,1,0,2,2,1,0,1,2,1,1
b,3.08,4.4,1,16,11,9,9,14,21,10,10,13,5,1,2,2,1,1,0,2,2,2,3
b,10.0,24.0,1,7,6,11,10,10,0,10,24,10,0,1,1,2,2,2,0,0,5,2,0
b,8.32,26.0,1,5,5,9,10,9,0,12,19,7,0,1,1,2,2,1,0,0,4,1,0
b,8.280000000000001,20.240000000000002,1,8,9,11,11,8,0,21,16,10,0,1,1,2,2,2,0,0,2,1,0
b,10.92,16.8,1,5,5,10,15,15,2,16,15,14,3,1,1,1,3,3,0,1,1,1,1
b,6.4799999999999995,12.24,0,5,5,14,10,16,0,27,11,12,0,1,1,3,2,2,0,0,3,1,0
b,8.4,7.199999999999999,1,3,16,10,12,7,5,18,4,8,13,0,3,2,2,1,1,0,1,1,2
c,9.88,13.68,0,16,5,6,5,18,5,24,10,9,2,1,1,1,1,1,0,2,2,2,1
